dx; dy; l_max; epsilon
0.00660692; 0.00660692; 100000; 0.001
Iteration; Residual; Error
582; 10680.6; 1026.19
583; 10667; 1026.16
584; 10653.4; 1026.12
585; 10639.9; 1026.09
586; 10626.4; 1026.05
587; 10612.9; 1026.02
588; 10599.5; 1025.99
589; 10586.1; 1025.95
590; 10572.8; 1025.92
591; 10559.5; 1025.88
592; 10546.2; 1025.85
593; 10533; 1025.82
594; 10519.8; 1025.78
595; 10506.7; 1025.75
596; 10493.6; 1025.72
597; 10480.5; 1025.68
598; 10467.5; 1025.65
599; 10454.5; 1025.61
600; 10441.6; 1025.58
601; 10428.6; 1025.55
602; 10415.8; 1025.51
603; 10402.9; 1025.48
604; 10390.1; 1025.45
605; 10377.4; 1025.41
606; 10364.7; 1025.38
607; 10352; 1025.35
608; 10339.3; 1025.31
609; 10326.7; 1025.28
610; 10314.1; 1025.25
611; 10301.6; 1025.21
612; 10289.1; 1025.18
613; 10276.6; 1025.15
614; 10264.2; 1025.11
615; 10251.8; 1025.08
616; 10239.4; 1025.05
617; 10227.1; 1025.01
618; 10214.8; 1024.98
619; 10202.5; 1024.95
620; 10190.3; 1024.91
621; 10178.1; 1024.88
622; 10166; 1024.85
623; 10153.8; 1024.81
624; 10141.7; 1024.78
625; 10129.7; 1024.75
626; 10117.7; 1024.71
627; 10105.7; 1024.68
628; 10093.7; 1024.65
629; 10081.8; 1024.62
630; 10069.9; 1024.58
631; 10058.1; 1024.55
632; 10046.3; 1024.52
633; 10034.5; 1024.48
634; 10022.7; 1024.45
635; 10011; 1024.42
636; 9999.3; 1024.38
637; 9987.65; 1024.35
638; 9976.02; 1024.32
639; 9964.43; 1024.29
640; 9952.87; 1024.25
641; 9941.33; 1024.22
642; 9929.84; 1024.19
643; 9918.37; 1024.16
644; 9906.93; 1024.12
645; 9895.53; 1024.09
646; 9884.15; 1024.06
647; 9872.81; 1024.03
648; 9861.5; 1023.99
649; 9850.22; 1023.96
650; 9838.96; 1023.93
651; 9827.74; 1023.9
652; 9816.55; 1023.86
653; 9805.39; 1023.83
654; 9794.26; 1023.8
655; 9783.16; 1023.77
656; 9772.09; 1023.73
657; 9761.04; 1023.7
658; 9750.03; 1023.67
659; 9739.05; 1023.64
660; 9728.09; 1023.6
661; 9717.17; 1023.57
662; 9706.27; 1023.54
663; 9695.41; 1023.51
664; 9684.57; 1023.47
665; 9673.76; 1023.44
666; 9662.98; 1023.41
667; 9652.22; 1023.38
668; 9641.5; 1023.35
669; 9630.8; 1023.31
670; 9620.13; 1023.28
671; 9609.49; 1023.25
672; 9598.88; 1023.22
673; 9588.29; 1023.19
674; 9577.74; 1023.15
675; 9567.21; 1023.12
676; 9556.7; 1023.09
677; 9546.23; 1023.06
678; 9535.78; 1023.03
679; 9525.36; 1022.99
680; 9514.96; 1022.96
681; 9504.59; 1022.93
682; 9494.25; 1022.9
683; 9483.94; 1022.87
684; 9473.65; 1022.83
685; 9463.39; 1022.8
686; 9453.15; 1022.77
687; 9442.94; 1022.74
688; 9432.76; 1022.71
689; 9422.6; 1022.68
690; 9412.47; 1022.64
691; 9402.36; 1022.61
692; 9392.28; 1022.58
693; 9382.23; 1022.55
694; 9372.2; 1022.52
695; 9362.2; 1022.49
696; 9352.22; 1022.45
697; 9342.26; 1022.42
698; 9332.34; 1022.39
699; 9322.43; 1022.36
700; 9312.55; 1022.33
701; 9302.7; 1022.3
702; 9292.87; 1022.27
703; 9283.06; 1022.23
704; 9273.28; 1022.2
705; 9263.53; 1022.17
706; 9253.79; 1022.14
707; 9244.09; 1022.11
708; 9234.4; 1022.08
709; 9224.74; 1022.05
710; 9215.11; 1022.01
711; 9205.5; 1021.98
712; 9195.91; 1021.95
713; 9186.34; 1021.92
714; 9176.8; 1021.89
715; 9167.28; 1021.86
716; 9157.79; 1021.83
717; 9148.32; 1021.8
718; 9138.87; 1021.77
719; 9129.44; 1021.73
720; 9120.04; 1021.7
721; 9110.66; 1021.67
722; 9101.31; 1021.64
723; 9091.97; 1021.61
724; 9082.66; 1021.58
725; 9073.37; 1021.55
726; 9064.11; 1021.52
727; 9054.86; 1021.49
728; 9045.64; 1021.45
729; 9036.44; 1021.42
730; 9027.27; 1021.39
731; 9018.11; 1021.36
732; 9008.98; 1021.33
733; 8999.87; 1021.3
734; 8990.78; 1021.27
735; 8981.71; 1021.24
736; 8972.66; 1021.21
737; 8963.64; 1021.18
738; 8954.64; 1021.15
739; 8945.65; 1021.12
740; 8936.69; 1021.08
741; 8927.75; 1021.05
742; 8918.84; 1021.02
743; 8909.94; 1020.99
744; 8901.06; 1020.96
745; 8892.21; 1020.93
746; 8883.38; 1020.9
747; 8874.56; 1020.87
748; 8865.77; 1020.84
749; 8857; 1020.81
750; 8848.25; 1020.78
751; 8839.51; 1020.75
752; 8830.8; 1020.72
753; 8822.11; 1020.69
754; 8813.44; 1020.66
755; 8804.79; 1020.63
756; 8796.16; 1020.59
757; 8787.55; 1020.56
758; 8778.96; 1020.53
759; 8770.39; 1020.5
760; 8761.84; 1020.47
761; 8753.31; 1020.44
762; 8744.8; 1020.41
763; 8736.31; 1020.38
764; 8727.84; 1020.35
765; 8719.39; 1020.32
766; 8710.95; 1020.29
767; 8702.54; 1020.26
768; 8694.15; 1020.23
769; 8685.77; 1020.2
770; 8677.41; 1020.17
771; 8669.08; 1020.14
772; 8660.76; 1020.11
773; 8652.46; 1020.08
774; 8644.18; 1020.05
775; 8635.92; 1020.02
776; 8627.68; 1019.99
777; 8619.45; 1019.96
778; 8611.25; 1019.93
779; 8603.06; 1019.9
780; 8594.89; 1019.87
781; 8586.74; 1019.84
782; 8578.61; 1019.81
783; 8570.49; 1019.78
784; 8562.4; 1019.75
785; 8554.32; 1019.72
786; 8546.26; 1019.69
787; 8538.22; 1019.66
788; 8530.19; 1019.63
789; 8522.19; 1019.6
790; 8514.2; 1019.57
791; 8506.23; 1019.54
792; 8498.28; 1019.51
793; 8490.34; 1019.48
794; 8482.43; 1019.45
795; 8474.53; 1019.42
796; 8466.64; 1019.39
797; 8458.78; 1019.36
798; 8450.93; 1019.33
799; 8443.1; 1019.3
800; 8435.29; 1019.27
801; 8427.49; 1019.24
802; 8419.71; 1019.21
803; 8411.95; 1019.18
804; 8404.2; 1019.15
805; 8396.48; 1019.12
806; 8388.76; 1019.09
807; 8381.07; 1019.06
808; 8373.39; 1019.03
809; 8365.73; 1019
810; 8358.09; 1018.97
811; 8350.46; 1018.94
812; 8342.85; 1018.91
813; 8335.25; 1018.89
814; 8327.67; 1018.86
815; 8320.11; 1018.83
816; 8312.56; 1018.8
817; 8305.03; 1018.77
818; 8297.52; 1018.74
819; 8290.02; 1018.71
820; 8282.54; 1018.68
821; 8275.08; 1018.65
822; 8267.63; 1018.62
823; 8260.19; 1018.59
824; 8252.78; 1018.56
825; 8245.37; 1018.53
826; 8237.99; 1018.5
827; 8230.62; 1018.47
828; 8223.26; 1018.44
829; 8215.92; 1018.41
830; 8208.6; 1018.39
831; 8201.29; 1018.36
832; 8194; 1018.33
833; 8186.72; 1018.3
834; 8179.46; 1018.27
835; 8172.21; 1018.24
836; 8164.98; 1018.21
837; 8157.76; 1018.18
838; 8150.56; 1018.15
839; 8143.38; 1018.12
840; 8136.21; 1018.09
841; 8129.05; 1018.06
842; 8121.91; 1018.03
843; 8114.78; 1018.01
844; 8107.67; 1017.98
845; 8100.57; 1017.95
846; 8093.49; 1017.92
847; 8086.42; 1017.89
848; 8079.37; 1017.86
849; 8072.33; 1017.83
850; 8065.31; 1017.8
851; 8058.3; 1017.77
852; 8051.31; 1017.74
853; 8044.33; 1017.72
854; 8037.36; 1017.69
855; 8030.41; 1017.66
856; 8023.47; 1017.63
857; 8016.55; 1017.6
858; 8009.64; 1017.57
859; 8002.74; 1017.54
860; 7995.86; 1017.51
861; 7989; 1017.48
862; 7982.15; 1017.46
863; 7975.31; 1017.43
864; 7968.48; 1017.4
865; 7961.67; 1017.37
866; 7954.87; 1017.34
867; 7948.09; 1017.31
868; 7941.32; 1017.28
869; 7934.57; 1017.25
870; 7927.82; 1017.23
871; 7921.1; 1017.2
872; 7914.38; 1017.17
873; 7907.68; 1017.14
874; 7900.99; 1017.11
875; 7894.32; 1017.08
876; 7887.66; 1017.05
877; 7881.01; 1017.03
878; 7874.37; 1017
879; 7867.75; 1016.97
880; 7861.14; 1016.94
881; 7854.55; 1016.91
882; 7847.97; 1016.88
883; 7841.4; 1016.85
884; 7834.84; 1016.83
885; 7828.3; 1016.8
886; 7821.77; 1016.77
887; 7815.26; 1016.74
888; 7808.75; 1016.71
889; 7802.26; 1016.68
890; 7795.78; 1016.65
891; 7789.32; 1016.63
892; 7782.87; 1016.6
893; 7776.43; 1016.57
894; 7770; 1016.54
895; 7763.58; 1016.51
896; 7757.18; 1016.48
897; 7750.79; 1016.46
898; 7744.42; 1016.43
899; 7738.05; 1016.4
900; 7731.7; 1016.37
901; 7725.36; 1016.34
902; 7719.03; 1016.31
903; 7712.72; 1016.29
904; 7706.42; 1016.26
905; 7700.13; 1016.23
906; 7693.85; 1016.2
907; 7687.58; 1016.17
908; 7681.33; 1016.14
909; 7675.09; 1016.12
910; 7668.86; 1016.09
911; 7662.64; 1016.06
912; 7656.43; 1016.03
913; 7650.24; 1016
914; 7644.06; 1015.98
915; 7637.89; 1015.95
916; 7631.73; 1015.92
917; 7625.59; 1015.89
918; 7619.45; 1015.86
919; 7613.33; 1015.84
920; 7607.22; 1015.81
921; 7601.12; 1015.78
922; 7595.03; 1015.75
923; 7588.95; 1015.72
924; 7582.89; 1015.7
925; 7576.84; 1015.67
926; 7570.8; 1015.64
927; 7564.77; 1015.61
928; 7558.75; 1015.58
929; 7552.74; 1015.56
930; 7546.74; 1015.53
931; 7540.76; 1015.5
932; 7534.79; 1015.47
933; 7528.82; 1015.44
934; 7522.87; 1015.42
935; 7516.93; 1015.39
936; 7511.01; 1015.36
937; 7505.09; 1015.33
938; 7499.18; 1015.3
939; 7493.29; 1015.28
940; 7487.4; 1015.25
941; 7481.53; 1015.22
942; 7475.67; 1015.19
943; 7469.82; 1015.17
944; 7463.98; 1015.14
945; 7458.15; 1015.11
946; 7452.33; 1015.08
947; 7446.52; 1015.06
948; 7440.72; 1015.03
949; 7434.94; 1015
950; 7429.16; 1014.97
951; 7423.4; 1014.94
952; 7417.64; 1014.92
953; 7411.9; 1014.89
954; 7406.17; 1014.86
955; 7400.44; 1014.83
956; 7394.73; 1014.81
957; 7389.03; 1014.78
958; 7383.34; 1014.75
959; 7377.66; 1014.72
960; 7371.99; 1014.7
961; 7366.33; 1014.67
962; 7360.68; 1014.64
963; 7355.04; 1014.61
964; 7349.41; 1014.59
965; 7343.79; 1014.56
966; 7338.19; 1014.53
967; 7332.59; 1014.5
968; 7327; 1014.48
969; 7321.42; 1014.45
970; 7315.86; 1014.42
971; 7310.3; 1014.39
972; 7304.75; 1014.37
973; 7299.21; 1014.34
974; 7293.69; 1014.31
975; 7288.17; 1014.28
976; 7282.66; 1014.26
977; 7277.16; 1014.23
978; 7271.68; 1014.2
979; 7266.2; 1014.18
980; 7260.73; 1014.15
981; 7255.27; 1014.12
982; 7249.82; 1014.09
983; 7244.38; 1014.07
984; 7238.96; 1014.04
985; 7233.54; 1014.01
986; 7228.13; 1013.98
987; 7222.73; 1013.96
988; 7217.34; 1013.93
989; 7211.96; 1013.9
990; 7206.58; 1013.88
991; 7201.22; 1013.85
992; 7195.87; 1013.82
993; 7190.53; 1013.79
994; 7185.19; 1013.77
995; 7179.87; 1013.74
996; 7174.56; 1013.71
997; 7169.25; 1013.69
998; 7163.96; 1013.66
999; 7158.67; 1013.63
